id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45120811,"Guest House  7 min to Disney, New open",289820207,Koki,,Edogawa Ku,35.65802,139.89506,Entire home/apt,17400,1,23,2022-08-20,0.95,1,258,12,M120025987
40069353,留连之家民宿,39884149,钦雄,,Edogawa Ku,35.71645,139.92855,Entire home/apt,3266,2,14,2022-08-15,0.42,2,41,6,M120020038
39568366,Museum House！202探し歩き回る時間がもったいない!最寄り駅徒歩2分ディズニー25分,184746369,Takahiro,,Edogawa Ku,35.67108,139.90337,Entire home/apt,10000,3,9,2021-02-19,0.26,2,88,0,M120020993
25414793,Free boxing training! 2 bunk beds dormitory.,162227924,Kai,,Hachioji Shi,35.63138,139.20242,Shared room,4500,1,74,2022-05-04,1.41,2,56,5,Hotels and Inns Business Act | 相模原市保健所 | 相模原市指令（生衛）第30ー134ー003号
9032305,Good Location! Near Tokyo Disneyland and Airport!,47146177,Satoshi,,Edogawa Ku,35.7147,139.92604,Entire home/apt,11000,2,111,2022-08-31,1.47,1,161,9,M120000370
21687395,"GoodAccessToTokyo,Asakusa,Disney/Matsudo/Wifi/049",61890115,Nomad,,Katsushika Ku,35.78078,139.90083,Entire home/apt,4436,1,56,2022-08-16,0.95,17,262,4,M120009017
39935926,Good access to Tokyo Ueno/Matsudo/Free Wifi/057,61890115,Nomad,,Katsushika Ku,35.77863,139.90162,Entire home/apt,6863,1,27,2022-08-27,0.78,17,226,5,M120021712
45370752,Close to Tokyo Disney Resort! Max4 ppl House #MIY1,340899855,Shuhei,,Edogawa Ku,35.71449,139.92725,Entire home/apt,17250,1,39,2022-08-12,1.71,1,62,15,Hotels and Inns Business Act | 千葉県市川保健所 | 第 R2-5 号
43097540,松戸駅徒歩5分*コンビニ2分*スーパー3分*羽田空港直行バス*東京駅20分*飲食店豊富＊川沿い綺麗い,200284973,Grace,,Katsushika Ku,35.78535,139.89542,Entire home/apt,24000,1,8,2022-08-02,0.63,1,346,7,M120027945
38676977,风宿之所民宿,39884149,钦雄,,Edogawa Ku,35.71614,139.92902,Entire home/apt,2980,1,6,2022-08-20,0.17,2,171,2,M120020039
44023359,【駅近、商業施設充実、消毒液完備】♪wifi完備！テレワークの方歓迎★,45574974,Makoto,,Edogawa Ku,35.72733,139.90589,Entire home/apt,14286,2,12,2022-08-27,0.46,2,138,5,M120024608
30460279,东京迪士尼最方便的日式别墅,218350992,亦琪,,Edogawa Ku,35.63936,139.88221,Entire home/apt,68000,1,2,2019-10-23,0.04,1,365,0,M120009749
50552035,B-Home 1 room in a friendly house,336489274,Bessalov,,Itabashi Ku,35.79588,139.64047,Private room,3550,1,1,2022-08-14,0.73,2,364,1,M130027682
197677,Oshiage Holiday Apartment,964081,Yoshimi & Marek,,Sumida Ku,35.71707,139.82608,Entire home/apt,11000,3,166,2022-07-22,1.24,1,316,1,M130003350
776070,Kero-kero house room 1,801494,Kei,,Kita Ku,35.73844,139.76917,Private room,10017,1,230,2022-07-09,1.92,1,267,2,M130000243
1016831,WOMAN ONLY Cosy & Cat  many restaurants around,5596383,Wakana,,Setagaya Ku,35.658,139.67134,Private room,12571,1,211,2020-03-16,1.83,1,111,0,M130001107
1196177,Stay with host Cozy private room Senju area,5686404,Yukiko,,Adachi Ku,35.74475,139.79731,Private room,40000,2,95,2020-03-17,0.86,1,88,0,M130007760
1249571,Unique stay! New&1min to the subway,6809418,Yume,,Shibuya Ku,35.65111,139.72165,Entire home/apt,42357,4,108,2022-09-08,0.98,1,162,6,M130000957
1263000,SHIBUYA 7 MINS  AMAZING HOST（for woman only）,6876728,Haruko,,Setagaya Ku,35.60742,139.67616,Private room,6000,3,185,2019-12-31,1.65,1,0,0,M130000057
1298200,Pine House 2 Bed Room + 2 Toilets,6606987,K & N,,Katsushika Ku,35.73987,139.85176,Entire home/apt,12429,1,344,2022-07-05,3.06,3,116,5,M130009943
1306664,3rd floor penthouse @ heart of TKO,7103955,Masaharu,,Shinjuku Ku,35.70263,139.74147,Entire home/apt,34571,2,168,2022-07-24,1.54,2,71,6,M130003681
1394124,Solar power/Car space/near to park,5710367,David,,Meguro Ku,35.62039,139.69983,Entire home/apt,25000,1,240,2022-08-28,2.16,1,159,14,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第88号
1441639,Wahuu Style APT + Free Portable Wi-Fi,7740848,K Family,,Katsushika Ku,35.7362,139.85178,Entire home/apt,10286,1,306,2022-02-24,2.75,8,166,2,M130002147
1526132,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室(和室) B,8142772,Min & Haru,,Shinjuku Ku,35.69857,139.704,Private room,5279,2,157,2022-01-02,1.42,11,270,1,M130002186
